symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
GPPL,Gujarat Pipavav Port Limited,369348,NSE,Industrials,Marine Shipping,GPPL.NS
VAKRANGEE,Vakrangee Limited,367646,NSE,Technology,Information Technology Services,VAKRANGEE.NS
CSBBANK,CSB Bank Limited,366315,NSE,Financial Services,Banks—Regional,CSBBANK.NS
AMIORG,Ami Organics Limited,365190,NSE,Basic Materials,Specialty Chemicals,AMIORG.NS
DATAPATTNS,Data Patterns (India) Limited,364711,NSE,Industrials,Aerospace & Defense,DATAPATTNS.NS
EQUITAS,Equitas Holdings Limited,364006,NSE,Financial Services,Credit Services,EQUITAS.NS
HGINFRA,H.G. Infra Engineering Limited,363622,NSE,Industrials,Engineering & Construction,HGINFRA.NS
MAHLOG,Mahindra Logistics Limited,362664,NSE,Industrials,Integrated Freight & Logistics,MAHLOG.NS
SUDARSCHEM,Sudarshan Chemical Industries Limited,360639,NSE,Basic Materials,Specialty Chemicals,SUDARSCHEM.NS
ENGINERSIN,Engineers India Limited,359988,NSE,Industrials,Engineering & Construction,ENGINERSIN.NS
RATEGAIN,Rategain Travel Technologies Limited,358524,NSE,Technology,Software—Application,RATEGAIN.NS
NCC,NCC Limited,357065,NSE,Industrials,Engineering & Construction,NCC.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,354974,NSE,Consumer Defensive,Confectioners,DHAMPURSUG.NS
DBL,Dilip Buildcon Limited,352524,NSE,Industrials,Engineering & Construction,DBL.NS
SANSERA,Sansera Engineering Limited,349781,NSE,Industrials,Metal Fabrication,SANSERA.NS
RUPA,Rupa & Company Limited,348437,NSE,Consumer Cyclical,Apparel Manufacturing,RUPA.NS
INDOCO,Indoco Remedies Limited,347453,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,INDOCO.NS
SHILPAMED,Shilpa Medicare Limited,345645,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,SHILPAMED.NS
ASTEC,Astec LifeSciences Limited,343907,NSE,Basic Materials,Agricultural Inputs,ASTEC.NS
ROLEXRINGS,Rolex Rings Limited,341683,NSE,Industrials,Metal Fabrication,ROLEXRINGS.NS
SEAMECLTD,Seamec Limited,340314,NSE,Industrials,Marine Shipping,SEAMECLTD.NS
PAISALO,Paisalo Digital Limited,334848,NSE,Financial Services,Credit Services,PAISALO.NS
DHANUKA,Dhanuka Agritech Limited,334293,NSE,Basic Materials,Agricultural Inputs,DHANUKA.NS
GATEWAY,Gateway Distriparks Limited,333262,NSE,Industrials,Integrated Freight & Logistics,GATEWAY.NS
BANARISUG,Bannari Amman Sugars Limited,333217,NSE,Consumer Defensive,Confectioners,BANARISUG.NS
SEQUENT,Sequent Scientific Limited,332320,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,SEQUENT.NS
HEMIPROP,Hemisphere Properties India Limited,325898,NSE,Real Estate,Real Estate—Diversified,HEMIPROP.NS
NEWGEN,Newgen Software Technologies Limited,325749,NSE,Technology,Software—Application,NEWGEN.NS
ITDC,India Tourism Development Corporation Limited,325066,NSE,Consumer Cyclical,Lodging,ITDC.NS
TATASTLLP,Tata Steel Long Products Limited,324111,NSE,Basic Materials,Steel,TATASTLLP.NS
KSCL,Kaveri Seed Company Limited,319019,NSE,Consumer Defensive,Farm Products,KSCL.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,315545,NSE,Industrials,Engineering & Construction,AHLUCONT.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,315390,NSE,Basic Materials,Specialty Chemicals,ADVENZYMES.NS
COSMOFILMS,Cosmo Films Limited,314988,NSE,Consumer Cyclical,Packaging & Containers,COSMOFILMS.NS
ICIL,Indo Count Industries Limited,313767,NSE,Consumer Cyclical,Textile Manufacturing,ICIL.NS
INDIAGLYCO,India Glycols Limited,312773,NSE,Basic Materials,Chemicals,INDIAGLYCO.NS
DOLLAR,Dollar Industries Limited,312166,NSE,Consumer Cyclical,Apparel Manufacturing,DOLLAR.NS
TEGA,Tega Industries Limited,311843,NSE,Industrials,Specialty Industrial Machinery,TEGA.NS
HSCL,Himadri Speciality Chemical Limited,311291,NSE,Basic Materials,Specialty Chemicals,HSCL.NS
STAR,Strides Pharma Science Limited,311213,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,STAR.NS
MIDHANI,Mishra Dhatu Nigam Limited,310329,NSE,Basic Materials,Steel,MIDHANI.NS
IPL,India Pesticides Limited,310020,NSE,Basic Materials,Agricultural Inputs,IPL.NS
HATHWAY,Hathway Cable & Datacom Limited,305343,NSE,Communication Services,Entertainment,HATHWAY.NS
NILKAMAL,Nilkamal Limited,302674,NSE,Consumer Cyclical,,NILKAMAL.NS
VENKEYS,Venky's (India) Limited,301814,NSE,Consumer Defensive,Farm Products,VENKEYS.NS
J&KBANK,The Jammu & Kashmir Bank Limited,301322,NSE,Financial Services,Banks—Regional,J&KBANK.NS
DISHTV,Dish TV India Limited,301045,NSE,Communication Services,Entertainment,DISHTV.NS
ARVIND,Arvind Limited,300846,NSE,Consumer Cyclical,Textile Manufacturing,ARVIND.NS
RSYSTEMS,R Systems International Limited,300432,NSE,Technology,Information Technology Services,RSYSTEMS.NS
HIL,HIL Limited,298610,NSE,Industrials,Building Products & Equipment,HIL.NS
RELINFRA,Reliance Infrastructure Limited,295338,NSE,Utilities,Utilities—Regulated Electric,RELINFRA.NS
MASFIN,MAS Financial Services Limited,293071,NSE,Financial Services,Credit Services,MASFIN.NS
ORIENTCEM,Orient Cement Limited,291528,NSE,Basic Materials,Building Materials,ORIENTCEM.NS
HINDOILEXP,Hindustan Oil Exploration Company Limited,290915,NSE,Energy,Oil & Gas E&P,HINDOILEXP.NS
DCAL,Dishman Carbogen Amcis Limited,289657,NSE,Healthcare,Biotechnology,DCAL.NS
SAGCEM,Sagar Cements Limited,289461,NSE,Basic Materials,Building Materials,SAGCEM.NS
JKTYRE,JK Tyre & Industries Limited,288952,NSE,Consumer Cyclical,Auto Parts,JKTYRE.NS
JINDALSAW,Jindal Saw Limited,288098,NSE,Basic Materials,Steel,JINDALSAW.NS
RTNPOWER,RattanIndia Power Limited,287301,NSE,Utilities,Utilities—Renewable,RTNPOWER.NS
ACE,Action Construction Equipment Limited,286395,NSE,Industrials,Farm & Heavy Construction Machinery,ACE.NS
FILATEX,Filatex India Limited,284961,NSE,Consumer Cyclical,Textile Manufacturing,FILATEX.NS
SCHNEIDER,Schneider Electric Infrastructure Limited,283458,NSE,Industrials,Specialty Industrial Machinery,SCHNEIDER.NS
TIPSINDLTD,TIPS Industries Limited,283359,NSE,Communication Services,Entertainment,TIPSINDLTD.NS
TASTYBITE,Tasty Bite Eatables Limited,277705,NSE,Consumer Defensive,Packaged Foods,TASTYBITE.NS
SOMANYCERA,Somany Ceramics Limited,275360,NSE,Industrials,Building Products & Equipment,SOMANYCERA.NS
OPTIEMUS,Optiemus Infracom Limited,274133,NSE,Technology,Electronics & Computer Distribution,OPTIEMUS.NS
PFOCUS,Prime Focus Limited,273477,NSE,Communication Services,Entertainment,PFOCUS.NS
TECHNOE,Techno Electric & Engineering Company Limited,272525,NSE,Industrials,Engineering & Construction,TECHNOE.NS
TIRUMALCHM,Thirumalai Chemicals Limited,272352,NSE,Basic Materials,Specialty Chemicals,TIRUMALCHM.NS
SELMC,SEL Manufacturing Company Limited,272102,NSE,Consumer Cyclical,Apparel Manufacturing,SELMC.NS
RAILTEL,Railtel Corporation Of India Limited,269909,NSE,Communication Services,Telecom Services,RAILTEL.NS
CARTRADE,Cartrade Tech Limited,269659,NSE,Consumer Cyclical,Auto & Truck Dealerships,CARTRADE.NS
GREENPLY,Greenply Industries Limited,269658,NSE,Basic Materials,Lumber & Wood Production,GREENPLY.NS
IIFLSEC,IIFL Securities Limited,269068,NSE,Financial Services,Capital Markets,IIFLSEC.NS
DODLA,Dodla Dairy Limited,266081,NSE,Consumer Defensive,Food Distribution,DODLA.NS
MOL,Meghmani Organics Limited,265250,NSE,Basic Materials,Agricultural Inputs,MOL.NS
SHIL,Somany Home Innovation Limited,262508,NSE,,,SHIL.NS
RAJRATAN,Rajratan Global Wire Limited,261826,NSE,Basic Materials,Steel,RAJRATAN.NS
INDOSTAR,IndoStar Capital Finance Limited,261786,NSE,Financial Services,Credit Services,INDOSTAR.NS
NFL,National Fertilizers Limited,260252,NSE,Basic Materials,Agricultural Inputs,NFL.NS
GRSE,Garden Reach Shipbuilders & Engineers Limited,259689,NSE,Industrials,Aerospace & Defense,GRSE.NS
THOMASCOOK,Thomas Cook  (India)  Limited,259497,NSE,Consumer Cyclical,Travel Services,THOMASCOOK.NS
AUTOAXLES,Automotive Axles Limited,259049,NSE,Consumer Cyclical,Auto Parts,AUTOAXLES.NS
UJJIVANSFB,Ujjivan Small Finance Bank Limited,255791,NSE,Financial Services,Banks—Regional,UJJIVANSFB.NS
DBREALTY,D B Realty Limited,255787,NSE,Real Estate,Real Estate—Development,DBREALTY.NS
EKC,Everest Kanto Cylinder Limited,253982,NSE,Industrials,Specialty Industrial Machinery,EKC.NS
KIRIINDUS,Kiri Industries Limited,253780,NSE,Basic Materials,Specialty Chemicals,KIRIINDUS.NS
PURVA,Puravankara Limited,253039,NSE,Real Estate,Real Estate—Development,PURVA.NS
SSWL,Steel Strips Wheels Limited,252951,NSE,Consumer Cyclical,Auto Parts,SSWL.NS
ANANDRATHI,Anand Rathi Wealth Limited,252319,NSE,Financial Services,Asset Management,ANANDRATHI.NS
RKFORGE,Ramkrishna Forgings Limited,251666,NSE,Industrials,Tools & Accessories,RKFORGE.NS
VALIANTORG,Valiant Organics Limited,250056,NSE,Basic Materials,Chemicals,VALIANTORG.NS
DAAWAT,LT Foods Limited,249799,NSE,Consumer Defensive,Packaged Foods,DAAWAT.NS
APARINDS,Apar Industries Limited,248459,NSE,Industrials,Electrical Equipment & Parts,APARINDS.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,248365,NSE,Consumer Cyclical,,BUTTERFLY.NS
BBOX,Black Box Limited,247409,NSE,Technology,Software—Application,BBOX.NS
INOXWIND,Inox Wind Limited,245885,NSE,Industrials,Specialty Industrial Machinery,INOXWIND.NS
PARAS,Paras Defence and Space Technologies Limited,244023,NSE,Industrials,Aerospace & Defense,PARAS.NS
IONEXCHANG,ION Exchange (India) Limited,243936,NSE,Industrials,Pollution & Treatment Controls,IONEXCHANG.NS
TATAMETALI,Tata Metaliks Limited,243605,NSE,Basic Materials,Steel,TATAMETALI.NS
EVEREADY,Eveready Industries India Limited,243502,NSE,Industrials,Electrical Equipment & Parts,EVEREADY.NS
PTC,PTC India Limited,243467,NSE,Utilities,Utilities—Independent Power Producers,PTC.NS
JISLJALEQS,Jain Irrigation Systems Limited,242079,NSE,Industrials,Farm & Heavy Construction Machinery,JISLJALEQS.NS
HERANBA,Heranba Industries Limited,242001,NSE,Basic Materials,Agricultural Inputs,HERANBA.NS
GUFICBIO,Gufic Biosciences Limited,241392,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,GUFICBIO.NS
TIIL,Technocraft Industries (India) Limited,241192,NSE,Industrials,Tools & Accessories,TIIL.NS
BLS,BLS International Services Limited,241116,NSE,Industrials,Specialty Business Services,BLS.NS
BAJAJCON,Bajaj Consumer Care Limited,240933,NSE,Consumer Defensive,Household & Personal Products,BAJAJCON.NS
ASHOKA,Ashoka Buildcon Limited,240861,NSE,Industrials,Engineering & Construction,ASHOKA.NS
SOLARA,Solara Active Pharma Sciences Limited,239771,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,SOLARA.NS
GOKEX,Gokaldas Exports Limited,238444,NSE,Consumer Cyclical,Apparel Manufacturing,GOKEX.NS
HCC,Hindustan Construction Company Limited,237545,NSE,Industrials,Engineering & Construction,HCC.NS
OAL,Oriental Aromatics Limited,236955,NSE,Basic Materials,Specialty Chemicals,OAL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,236412,NSE,Consumer Defensive,Confectioners,DWARKESH.NS
GET&D,GE T&D India Limited,234667,NSE,Industrials,Specialty Industrial Machinery,GET&D.NS
IFCI,IFCI Limited,233432,NSE,Financial Services,Credit Services,IFCI.NS
AMRUTANJAN,Amrutanjan Health Care Limited,232267,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,AMRUTANJAN.NS
POKARNA,Pokarna Limited,231181,NSE,Industrials,Building Products & Equipment,POKARNA.NS
HESTERBIO,Hester Biosciences Limited,230830,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,HESTERBIO.NS
MOLDTKPAC,Mold-Tek Packaging Limited,228160,NSE,Consumer Cyclical,Packaging & Containers,MOLDTKPAC.NS
SURYAROSNI,Surya Roshni Limited,224954,NSE,Basic Materials,Steel,SURYAROSNI.NS
KIRLOSBROS,Kirloskar Brothers Limited,224767,NSE,Industrials,Specialty Industrial Machinery,KIRLOSBROS.NS
IMFA,Indian Metals & Ferro Alloys Limited,223640,NSE,Basic Materials,Steel,IMFA.NS
SHARDAMOTR,Sharda Motor Industries Limited,222601,NSE,Consumer Cyclical,Auto Parts,SHARDAMOTR.NS
GANESHHOUC,Ganesh Housing Corporation Limited,221976,NSE,Real Estate,Real Estate—Development,GANESHHOUC.NS
TVTODAY,TV Today Network Limited,221699,NSE,Communication Services,Broadcasting,TVTODAY.NS
ACRYSIL,Acrysil Limited,221474,NSE,Consumer Cyclical,,ACRYSIL.NS
WSTCSTPAPR,West Coast Paper Mills Limited,220768,NSE,Basic Materials,Paper & Paper Products,WSTCSTPAPR.NS
GRAVITA,Gravita India Limited,219368,NSE,Industrials,Metal Fabrication,GRAVITA.NS
SAFARI,Safari Industries (India) Limited,218186,NSE,Consumer Cyclical,Footwear & Accessories,SAFARI.NS
JAYNECOIND,Jayaswal Neco Industries Limited,217989,NSE,Basic Materials,Steel,JAYNECOIND.NS
IGPL,IG Petrochemicals Limited,215933,NSE,Basic Materials,Specialty Chemicals,IGPL.NS
DCBBANK,DCB Bank Limited,215818,NSE,Financial Services,Banks—Regional,DCBBANK.NS
MSTCLTD,Mstc Limited,215494,NSE,Industrials,Conglomerates,MSTCLTD.NS
KOLTEPATIL,Kolte - Patil Developers Limited,214560,NSE,Real Estate,Real Estate—Development,KOLTEPATIL.NS
SUBROS,Subros Limited,213778,NSE,Consumer Cyclical,Auto Parts,SUBROS.NS
SPANDANA,Spandana Sphoorty Financial Limited,213771,NSE,Financial Services,Credit Services,SPANDANA.NS
GULFOILLUB,Gulf Oil Lubricants India Limited,213080,NSE,Basic Materials,Specialty Chemicals,GULFOILLUB.NS
BEPL,Bhansali Engineering Polymers Limited,210534,NSE,Basic Materials,Chemicals,BEPL.NS
STEELXIND,STEEL EXCHANGE INDIA LIMITED,210382,NSE,Basic Materials,Steel,STEELXIND.NS
FINOPB,Fino Payments Bank Limited,209201,NSE,Financial Services,Banks—Regional,FINOPB.NS
VIDHIING,Vidhi Specialty Food Ingredients Limited,208221,NSE,Basic Materials,Specialty Chemicals,VIDHIING.NS
IOLCP,IOL Chemicals and Pharmaceuticals Limited,207641,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,IOLCP.NS
VSTTILLERS,V.S.T Tillers Tractors Limited,207409,NSE,Industrials,Farm & Heavy Construction Machinery,VSTTILLERS.NS
ANDHRSUGAR,The Andhra Sugars Limited,207234,NSE,Basic Materials,Chemicals,ANDHRSUGAR.NS
VESUVIUS,Vesuvius India Limited,207010,NSE,Industrials,Specialty Industrial Machinery,VESUVIUS.NS
NBVENTURES,Nava Bharat Ventures Limited,204447,NSE,Utilities,Utilities—Regulated Electric,NBVENTURES.NS
ATFL,Agro Tech Foods Limited,204409,NSE,Consumer Defensive,Packaged Foods,ATFL.NS
MMFL,MM Forgings Limited,204171,NSE,Industrials,Metal Fabrication,MMFL.NS
JPASSOCIAT,Jaiprakash Associates Limited,203731,NSE,Industrials,Conglomerates,JPASSOCIAT.NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,203334,NSE,Consumer Cyclical,Textile Manufacturing,BOMDYEING.NS
SHK,S H Kelkar and Company Limited,202866,NSE,Consumer Defensive,Household & Personal Products,SHK.NS
GMRP&UI,GMR Power and Urban Infra Limited,202808,NSE,Industrials,Infrastructure Operations,GMRP&UI.NS
NAVNETEDUL,Navneet Education Limited,202235,NSE,Communication Services,Publishing,NAVNETEDUL.NS
GATI,GATI Limited,201485,NSE,Industrials,Integrated Freight & Logistics,GATI.NS
STOVEKRAFT,Stove Kraft Limited,201117,NSE,Consumer Cyclical,,STOVEKRAFT.NS
FCL,Fineotex Chemical Limited,200122,NSE,Basic Materials,Specialty Chemicals,FCL.NS
MUKANDLTD,Mukand Limited,199241,NSE,Basic Materials,Steel,MUKANDLTD.NS
AVTNPL,AVT Natural Products Limited,198654,NSE,Basic Materials,Specialty Chemicals,AVTNPL.NS
VOLTAMP,Voltamp Transformers Limited,198306,NSE,Industrials,Electrical Equipment & Parts,VOLTAMP.NS
SBCL,Shivalik Bimetal Controls Limited,197237,NSE,Industrials,Metal Fabrication,SBCL.NS
SIYSIL,Siyaram Silk Mills Limited,196620,NSE,Consumer Cyclical,Textile Manufacturing,SIYSIL.NS
FAIRCHEMOR,Fairchem Organics Limited,195633,NSE,Basic Materials,Specialty Chemicals,FAIRCHEMOR.NS
JAICORPLTD,Jai Corp Limited,195045,NSE,Basic Materials,Specialty Chemicals,JAICORPLTD.NS
GTPL,GTPL Hathway Limited,194898,NSE,Communication Services,Entertainment,GTPL.NS
ASTRAMICRO,Astra Microwave Products Limited,194833,NSE,Technology,Communication Equipment,ASTRAMICRO.NS
ANANTRAJ,Anant Raj Limited,194468,NSE,Real Estate,Real Estate—Development,ANANTRAJ.NS
PSPPROJECT,PSP Projects Limited,194094,NSE,Industrials,Engineering & Construction,PSPPROJECT.NS
TIDEWATER,Tide Water Oil Company (India) Limited,193633,NSE,Basic Materials,Specialty Chemicals,TIDEWATER.NS
MIRZAINT,Mirza International Limited,193332,NSE,Consumer Cyclical,Footwear & Accessories,MIRZAINT.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,192721,NSE,Industrials,Conglomerates,BALMLAWRIE.NS
HSIL,HSIL Limited,191440,NSE,,,HSIL.NS
VISHNU,Vishnu Chemicals Limited,191065,NSE,Basic Materials,Specialty Chemicals,VISHNU.NS
KIRLOSENG,Kirloskar Oil Engines Limited,190818,NSE,Industrials,Specialty Industrial Machinery,KIRLOSENG.NS
APOLLOPIPE,Apollo Pipes Limited,190742,NSE,Industrials,Building Products & Equipment,APOLLOPIPE.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,190085,NSE,Energy,Oil & Gas Refining & Marketing,CHENNPETRO.NS
GTLINFRA,GTL Infrastructure Limited,189350,NSE,Technology,Communication Equipment,GTLINFRA.NS
PILANIINVS,Pilani Investment and Industries Corporation Limited,187669,NSE,Financial Services,Asset Management,PILANIINVS.NS
MANALIPETC,Manali Petrochemicals Limited,186361,NSE,Basic Materials,Specialty Chemicals,MANALIPETC.NS
MARKSANS,Marksans Pharma Limited,186238,NSE,Healthcare,Drug Manufacturers—General,MARKSANS.NS
APCOTEXIND,Apcotex Industries Limited,186072,NSE,Basic Materials,Specialty Chemicals,APCOTEXIND.NS
ALEMBICLTD,Alembic Limited,186038,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,ALEMBICLTD.NS
NAHARSPING,Nahar Spinning Mills Limited,185430,NSE,Consumer Cyclical,Textile Manufacturing,NAHARSPING.NS
GENUSPOWER,Genus Power Infrastructures Limited,185280,NSE,Industrials,Electrical Equipment & Parts,GENUSPOWER.NS
UNICHEMLAB,Unichem Laboratories Limited,182985,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,UNICHEMLAB.NS
RAMCOIND,Ramco Industries Limited,182686,NSE,Industrials,Building Products & Equipment,RAMCOIND.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,181385,NSE,Consumer Defensive,Confectioners,BAJAJHIND.NS
SUBEXLTD,Subex Limited,180684,NSE,Technology,Software—Application,SUBEXLTD.NS
JTEKTINDIA,Jtekt India Limited,180427,NSE,Consumer Cyclical,Auto Parts,JTEKTINDIA.NS
SHANKARA,Shankara Building Products Limited,179836,NSE,Consumer Cyclical,Home Improvement Retail,SHANKARA.NS
GENESYS,Genesys International Corporation Limited,179128,NSE,Technology,Software—Application,GENESYS.NS
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,178948,NSE,Basic Materials,Chemicals,PUNJABCHEM.NS
CAMLINFINE,Camlin Fine Sciences Limited,177978,NSE,Basic Materials,Specialty Chemicals,CAMLINFINE.NS
CONFIPET,Confidence Petroleum India Limited,177365,NSE,Energy,Oil & Gas Refining & Marketing,CONFIPET.NS
DATAMATICS,Datamatics Global Services Limited,176612,NSE,Technology,Information Technology Services,DATAMATICS.NS
DEN,Den Networks Limited,176096,NSE,Communication Services,Entertainment,DEN.NS
HBLPOWER,HBL Power Systems Limited,175742,NSE,Industrials,Electrical Equipment & Parts,HBLPOWER.NS
INFOBEAN,InfoBeans Technologies Limited,175578,NSE,Technology,Software—Application,INFOBEAN.NS
WABAG,VA Tech Wabag Limited,174382,NSE,Industrials,Waste Management,WABAG.NS
XPROINDIA,Xpro India Limited,173292,NSE,Basic Materials,Specialty Chemicals,XPROINDIA.NS
STYLAMIND,Stylam Industries Limited,173048,NSE,,,STYLAMIND.NS
KTKBANK,The Karnataka Bank Limited,172540,NSE,Financial Services,Banks—Regional,KTKBANK.NS
EXCELINDUS,Excel Industries Limited,172357,NSE,Basic Materials,Specialty Chemicals,EXCELINDUS.NS
INDORAMA,Indo Rama Synthetics (India) Limited,172335,NSE,Consumer Cyclical,Textile Manufacturing,INDORAMA.NS
EXPLEOSOL,Expleo Solutions Limited,172103,NSE,Technology,Information Technology Services,EXPLEOSOL.NS
INEOSSTYRO,INEOS Styrolution India Limited,171521,NSE,Basic Materials,Chemicals,INEOSSTYRO.NS
JAGRAN,Jagran Prakashan Limited,171243,NSE,Communication Services,Publishing,JAGRAN.NS
ORISSAMINE,The Orissa Minerals Development Company Limited,170967,NSE,Basic Materials,Other Industrial Metals & Mining,ORISSAMINE.NS
ELECTCAST,Electrosteel Castings Limited,170801,NSE,Basic Materials,Steel,ELECTCAST.NS
FRETAIL,Future Retail Limited,169193,NSE,Consumer Cyclical,Department Stores,FRETAIL.NS
LGBBROSLTD,LG Balakrishnan & Bros Limited,168640,NSE,Consumer Cyclical,Auto Parts,LGBBROSLTD.NS
KABRAEXTRU,Kabra Extrusion Technik Limited,167966,NSE,Industrials,Specialty Industrial Machinery,KABRAEXTRU.NS
KITEX,Kitex Garments Limited,165652,NSE,Consumer Cyclical,Apparel Manufacturing,KITEX.NS
BECTORFOOD,Mrs. Bectors Food Specialities Limited,164889,NSE,Consumer Defensive,Packaged Foods,BECTORFOOD.NS
GOLDIAM,Goldiam International Limited,164715,NSE,Consumer Cyclical,Luxury Goods,GOLDIAM.NS
MOREPENLAB,Morepen Laboratories Limited,164274,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,MOREPENLAB.NS
NELCO,NELCO Limited,163597,NSE,Technology,Communication Equipment,NELCO.NS
RGL,Renaissance Global Limited,163468,NSE,Consumer Cyclical,Luxury Goods,RGL.NS
GULPOLY,Gulshan Polyols Limited,163037,NSE,Basic Materials,Chemicals,GULPOLY.NS
ZENTEC,Zen Technologies Limited,162996,NSE,Industrials,Aerospace & Defense,ZENTEC.NS
GRWRHITECH,Garware Hi-Tech Films Limited,162232,NSE,Basic Materials,Specialty Chemicals,GRWRHITECH.NS
DIAMONDYD,Prataap Snacks Limited,161826,NSE,Consumer Defensive,Packaged Foods,DIAMONDYD.NS
ELECON,Elecon Engineering Company Limited,161344,NSE,Industrials,Specialty Industrial Machinery,ELECON.NS
GABRIEL,Gabriel India Limited,160738,NSE,Consumer Cyclical,Auto Parts,GABRIEL.NS
NACLIND,NACL Industries Limited,160728,NSE,Basic Materials,Agricultural Inputs,NACLIND.NS
PANAMAPET,Panama Petrochem Limited,160429,NSE,Energy,Oil & Gas Refining & Marketing,PANAMAPET.NS
MAYURUNIQ,Mayur Uniquoters Ltd,159566,NSE,Consumer Cyclical,Textile Manufacturing,MAYURUNIQ.NS
SWARAJENG,Swaraj Engines Limited,158765,NSE,Consumer Cyclical,Auto Parts,SWARAJENG.NS
GANECOS,Ganesha Ecosphere Limited,158656,NSE,Consumer Cyclical,Textile Manufacturing,GANECOS.NS
PRICOLLTD,Pricol Limited,158629,NSE,Consumer Cyclical,Auto Parts,PRICOLLTD.NS
SOUTHBANK,The South Indian Bank Limited,156956,NSE,Financial Services,Banks—Regional,SOUTHBANK.NS
ADFFOODS,ADF Foods Limited,155827,NSE,Consumer Defensive,Packaged Foods,ADFFOODS.NS
SHRIPISTON,Shriram Pistons & Rings Limited,155287,NSE,Consumer Cyclical,Auto Parts,SHRIPISTON.NS
PGEL,PG Electroplast Limited,155175,NSE,Technology,Electronic Components,PGEL.NS
RPSGVENT,RPSG VENTURES LIMITED,155171,NSE,Technology,Information Technology Services,RPSGVENT.NS
SUNDARMHLD,Sundaram Finance Holdings Limited,153918,NSE,Industrials,Specialty Business Services,SUNDARMHLD.NS
MATRIMONY,Matrimony.Com Limited,153593,NSE,Communication Services,Internet Content & Information,MATRIMONY.NS
KRSNAA,Krsnaa Diagnostics Limited,153440,NSE,Healthcare,Diagnostics & Research,KRSNAA.NS
KINGFA,Kingfa Science & Technology (India) Limited,153270,NSE,Basic Materials,Specialty Chemicals,KINGFA.NS
MAXVIL,Max Ventures and Industries Limited,152177,NSE,Consumer Cyclical,Packaging & Containers,MAXVIL.NS
KIRLOSIND,Kirloskar Industries Limited,151635,NSE,Industrials,Metal Fabrication,KIRLOSIND.NS
JSWISPL,JSW Ispat Special Products Limited,151429,NSE,Basic Materials,Steel,JSWISPL.NS
CARERATING,CARE Ratings Limited,151279,NSE,Financial Services,Financial Data & Stock Exchanges,CARERATING.NS
DBCORP,D.B.Corp Limited,150676,NSE,Communication Services,Publishing,DBCORP.NS
CANTABIL,Cantabil Retail India Limited,150353,NSE,Consumer Cyclical,Apparel Manufacturing,CANTABIL.NS
THANGAMAYL,Thangamayil Jewellery Limited,149557,NSE,Consumer Cyclical,Luxury Goods,THANGAMAYL.NS
GEOJITFSL,Geojit Financial Services Limited,149373,NSE,Financial Services,Capital Markets,GEOJITFSL.NS
KCP,KCP Limited,149355,NSE,Basic Materials,Building Materials,KCP.NS
HERITGFOOD,Heritage Foods Limited,148590,NSE,Consumer Defensive,Packaged Foods,HERITGFOOD.NS
DFMFOODS,DFM Foods Limited,148563,NSE,Consumer Defensive,Packaged Foods,DFMFOODS.NS
HIMATSEIDE,Himatsingka Seide Limited,148178,NSE,Consumer Cyclical,Textile Manufacturing,HIMATSEIDE.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,147787,NSE,Consumer Cyclical,Auto Parts,FMGOETZE.NS
NDTV,New Delhi Television Limited,146350,NSE,Communication Services,Broadcasting,NDTV.NS
OMAXE,Omaxe Limited,146229,NSE,Real Estate,Real Estate—Development,OMAXE.NS
SPIC,Southern Petrochemicals Industries Corporation  Limited,145806,NSE,Basic Materials,Agricultural Inputs,SPIC.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,145514,NSE,Consumer Defensive,Confectioners,AVADHSUGAR.NS
SOTL,Savita Oil Technologies Limited,145249,NSE,Basic Materials,Specialty Chemicals,SOTL.NS
TIMETECHNO,Time Technoplast Limited,144508,NSE,Consumer Cyclical,Packaging & Containers,TIMETECHNO.NS
GALLISPAT,Gallantt Ispat Limited,143580,NSE,Basic Materials,Steel,GALLISPAT.NS
MTNL,Mahanagar Telephone Nigam Limited,142380,NSE,Communication Services,Telecom Services,MTNL.NS
