symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
NETWORK18,Network18 Media & Investments Limited,891477,NSE,Communication Services,Broadcasting,NETWORK18.NS
ELGIEQUIP,Elgi Equipments Limited,885919,NSE,Industrials,Specialty Industrial Machinery,ELGIEQUIP.NS
DELTACORP,Delta Corp Limited,882083,NSE,Consumer Cyclical,Resorts & Casinos,DELTACORP.NS
ALLCARGO,Allcargo Logistics Limited,880573,NSE,Industrials,Integrated Freight & Logistics,ALLCARGO.NS
FSL,Firstsource Solutions Limited,871587,NSE,Technology,Information Technology Services,FSL.NS
SUPPETRO,Supreme Petrochem Limited,870208,NSE,Dell Back to College offers,,SUPPETRO.NS
AKZOINDIA,Akzo Nobel India Limited,869160,NSE,Basic Materials,Specialty Chemicals,AKZOINDIA.NS
NLCINDIA,NLC India Limited,867341,NSE,Utilities,Utilities—Regulated Electric,NLCINDIA.NS
GODREJAGRO,Godrej Agrovet Limited,849427,NSE,Consumer Defensive,Farm Products,GODREJAGRO.NS
LATENTVIEW,Latent View Analytics Limited,847284,NSE,Industrials,Consulting Services,LATENTVIEW.NS
FACT,Fertilizers and Chemicals Travancore Limited,847017,NSE,Basic Materials,Agricultural Inputs,FACT.NS
SUZLON,Suzlon Energy Limited,843396,NSE,Industrials,Specialty Industrial Machinery,SUZLON.NS
CANFINHOME,Can Fin Homes Limited,840802,NSE,Financial Services,Mortgage Finance,CANFINHOME.NS
NIITLTD,NIIT Limited,832253,NSE,Consumer Defensive,Education & Training Services,NIITLTD.NS
ZENSARTECH,Zensar Technologies Limited,830046,NSE,Technology,Information Technology Services,ZENSARTECH.NS
ANURAS,Anupam Rasayan India Limited,826485,NSE,Basic Materials,Specialty Chemicals,ANURAS.NS
MAPMYINDIA,C.E. Info Systems Limited,804342,NSE,Technology,Software—Application,MAPMYINDIA.NS
EIDPARRY,EID Parry India Limited,802585,NSE,Consumer Defensive,Confectioners,EIDPARRY.NS
ECLERX,eClerx Services Limited,802092,NSE,Technology,Information Technology Services,ECLERX.NS
KNRCON,KNR Constructions Limited,799128,NSE,Industrials,Engineering & Construction,KNRCON.NS
VMART,V-Mart Retail Limited,783323,NSE,Consumer Cyclical,Department Stores,VMART.NS
SPARC,Sun Pharma Advanced Research Company Limited,782255,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,SPARC.NS
RBLBANK,RBL Bank Limited,780552,NSE,Financial Services,Banks—Regional,RBLBANK.NS
SONATSOFTW,Sonata Software Limited,777548,NSE,Technology,Information Technology Services,SONATSOFTW.NS
MGL,Mahanagar Gas Limited,769528,NSE,Utilities,Utilities—Regulated Gas,MGL.NS
SYMPHONY,Symphony Limited,768058,NSE,Consumer Cyclical,694,SYMPHONY.NS
INDIGOPNTS,Indigo Paints Limited,763887,NSE,Basic Materials,Specialty Chemicals,INDIGOPNTS.NS
POLYPLEX,Polyplex Corporation Limited,761236,NSE,Basic Materials,Specialty Chemicals,POLYPLEX.NS
GRANULES,Granules India Limited,760138,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,GRANULES.NS
RENUKA,Shree Renuka Sugars Limited,757742,NSE,Consumer Defensive,Confectioners,RENUKA.NS
BEML,BEML Limited,757451,NSE,Industrials,Conglomerates,BEML.NS
BORORENEW,BOROSIL RENEWABLES LIMITED,756387,NSE,Consumer Cyclical,Packaging & Containers,BORORENEW.NS
TRIVENI,Triveni Engineering & Industries Limited,752221,NSE,Consumer Defensive,Confectioners,TRIVENI.NS
TEAMLEASE,Teamlease Services Limited,741812,NSE,Industrials,Staffing & Employment Services,TEAMLEASE.NS
EASEMYTRIP,Easy Trip Planners Limited,740524,NSE,Consumer Cyclical,Travel Services,EASEMYTRIP.NS
IBULHSGFIN,Indiabulls Housing Finance Limited,739406,NSE,Financial Services,Mortgage Finance,IBULHSGFIN.NS
PRIVISCL,Privi Speciality Chemicals Limited,732484,NSE,Basic Materials,Specialty Chemicals,PRIVISCL.NS
PRAJIND,Praj Industries Limited,731845,NSE,Industrials,Engineering & Construction,PRAJIND.NS
MRPL,Mangalore Refinery and Petrochemicals Limited,729081,NSE,Energy,Oil & Gas Refining & Marketing,MRPL.NS
SUNCLAYLTD,Sundaram Clayton Limited,723418,NSE,Consumer Cyclical,Auto Parts,SUNCLAYLTD.NS
AEGISCHEM,Aegis Logistics Limited,721481,NSE,Energy,Oil & Gas Refining & Marketing,AEGISCHEM.NS
GREENPANEL,Greenpanel Industries Limited,717922,NSE,Consumer Cyclical,,GREENPANEL.NS
JUBLINGREA,Jubilant Ingrevia Limited,716526,NSE,Healthcare,Biotechnology,JUBLINGREA.NS
SIS,SIS LIMITED,713174,NSE,Industrials,Security & Protection Services,SIS.NS
PRINCEPIPE,Prince Pipes And Fittings Limited,701234,NSE,Basic Materials,Specialty Chemicals,PRINCEPIPE.NS
TATAINVEST,Tata Investment Corporation Limited,686325,NSE,Financial Services,Capital Markets,TATAINVEST.NS
RVNL,Rail Vikas Nigam Limited,681802,NSE,Industrials,Engineering & Construction,RVNL.NS
ORIENTELEC,Orient Electric Limited,681646,NSE,Consumer Cyclical,888,ORIENTELEC.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,676949,NSE,Basic Materials,Chemicals,DEEPAKFERT.NS
HOMEFIRST,Home First Finance Company India Limited,674298,NSE,Financial Services,Mortgage Finance,HOMEFIRST.NS
SOBHA,Sobha Limited,671272,NSE,Real Estate,Real Estate—Development,SOBHA.NS
GMMPFAUDLR,GMM Pfaudler Limited,665908,NSE,Industrials,Specialty Industrial Machinery,GMMPFAUDLR.NS
PNCINFRA,PNC Infratech Limited,664821,NSE,Industrials,Engineering & Construction,PNCINFRA.NS
PGHL,Procter & Gamble Health Limited,664374,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,PGHL.NS
MMTC,MMTC Limited,661500,NSE,Industrials,Conglomerates,MMTC.NS
LUXIND,Lux Industries Limited,658855,NSE,Consumer Cyclical,Apparel Manufacturing,LUXIND.NS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,658473,NSE,Basic Materials,Chemicals,GUJALKALI.NS
TCIEXP,TCI Express Limited,656823,NSE,Industrials,Integrated Freight & Logistics,TCIEXP.NS
HUDCO,Housing & Urban Development Corporation Limited,655622,NSE,Financial Services,Credit Services,HUDCO.NS
TRITURBINE,Triveni Turbine Limited,653562,NSE,Industrials,Specialty Industrial Machinery,TRITURBINE.NS
NBCC,NBCC (India) Limited,653400,NSE,Industrials,Engineering & Construction,NBCC.NS
RAIN,Rain Industries Limited,652511,NSE,Basic Materials,Chemicals,RAIN.NS
MAHINDCIE,Mahindra CIE Automotive Limited,651445,NSE,Consumer Cyclical,Auto Parts,MAHINDCIE.NS
INDIACEM,The India Cements Limited,649235,NSE,Basic Materials,Building Materials,INDIACEM.NS
INOXLEISUR,INOX Leisure Limited,648153,NSE,Communication Services,Entertainment,INOXLEISUR.NS
CERA,Cera Sanitaryware Limited,646711,NSE,Industrials,Building Products & Equipment,CERA.NS
GSFC,Gujarat State Fertilizers & Chemicals Limited,645733,NSE,Basic Materials,Agricultural Inputs,GSFC.NS
JMFINANCIL,JM Financial Limited,644937,NSE,Financial Services,Capital Markets,JMFINANCIL.NS
EQUITASBNK,Equitas Small Finance Bank Limited,639786,NSE,Financial Services,Banks—Regional,EQUITASBNK.NS
SUNTECK,Sunteck Realty Limited,639620,NSE,Real Estate,Real Estate—Development,SUNTECK.NS
ASTRAZEN,AstraZeneca Pharma India Limited,637963,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,ASTRAZEN.NS
RTNINDIA,RattanIndia Enterprises Limited,637917,NSE,Utilities,Utilities—Independent Power Producers,RTNINDIA.NS
PNBHOUSING,PNB Housing Finance Limited,635364,NSE,Financial Services,Mortgage Finance,PNBHOUSING.NS
RITES,RITES Limited,630792,NSE,Industrials,Engineering & Construction,RITES.NS
PSB,Punjab & Sind Bank,626137,NSE,Financial Services,Banks—Regional,PSB.NS
CHALET,Chalet Hotels Limited,619890,NSE,Consumer Cyclical,Lodging,CHALET.NS
JUBLPHARMA,Jubilant Pharmova Limited,618250,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,JUBLPHARMA.NS
VAIBHAVGBL,Vaibhav Global Limited,613178,NSE,Consumer Cyclical,Luxury Goods,VAIBHAVGBL.NS
EPL,EPL Limited,611636,NSE,Consumer Cyclical,Packaging & Containers,EPL.NS
MAHLIFE,Mahindra Lifespace Developers Limited,610632,NSE,Real Estate,Real Estate—Development,MAHLIFE.NS
KALYANKJIL,Kalyan Jewellers India Limited,605156,NSE,Consumer Cyclical,Luxury Goods,KALYANKJIL.NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,603405,NSE,Energy,Thermal Coal,GMDCLTD.NS
SWSOLAR,Sterling and Wilson Renewable Energy Limited,603320,NSE,Technology,Solar,SWSOLAR.NS
BBTC,Bombay Burmah Trading Corporation Limited,600597,NSE,Consumer Defensive,Packaged Foods,BBTC.NS
GAEL,Gujarat Ambuja Exports Limited,596731,NSE,Consumer Defensive,Packaged Foods,GAEL.NS
JUSTDIAL,Just Dial Limited,594738,NSE,Communication Services,Internet Content & Information,JUSTDIAL.NS
GARFIBRES,Garware Technical Fibres Limited,581793,NSE,Consumer Cyclical,Textile Manufacturing,GARFIBRES.NS
PRSMJOHNSN,Prism Johnson Limited,579867,NSE,Basic Materials,Building Materials,PRSMJOHNSN.NS
FINCABLES,Finolex Cables Limited,577575,NSE,Industrials,Electrical Equipment & Parts,FINCABLES.NS
RAYMOND,Raymond Limited,568972,NSE,Consumer Cyclical,Textile Manufacturing,RAYMOND.NS
JINDWORLD,Jindal Worldwide Limited,562660,NSE,Consumer Cyclical,Textile Manufacturing,JINDWORLD.NS
GLS,Glenmark Life Sciences Limited,562155,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,GLS.NS
AVANTIFEED,Avanti Feeds Limited,561809,NSE,Consumer Defensive,Packaged Foods,AVANTIFEED.NS
JKLAKSHMI,JK Lakshmi Cement Limited,558756,NSE,Basic Materials,Building Materials,JKLAKSHMI.NS
SHARDACROP,Sharda Cropchem Limited,554856,NSE,Basic Materials,Agricultural Inputs,SHARDACROP.NS
EDELWEISS,Edelweiss Financial Services Limited,553597,NSE,Financial Services,Capital Markets,EDELWEISS.NS
OLECTRA,Olectra Greentech Limited,549572,NSE,Consumer Cyclical,Auto Parts,OLECTRA.NS
GOCOLORS,Go Fashion (India) Limited,546301,NSE,Consumer Cyclical,Apparel Manufacturing,GOCOLORS.NS
KALPATPOWR,Kalpataru Power Transmission Limited,546125,NSE,Industrials,Engineering & Construction,KALPATPOWR.NS
GPIL,Godawari Power And Ispat limited,544682,NSE,Basic Materials,Steel,GPIL.NS
JYOTHYLAB,Jyothy Labs Limited,541449,NSE,Consumer Defensive,Household & Personal Products,JYOTHYLAB.NS
MTARTECH,Mtar Technologies Limited,539446,NSE,Industrials,Specialty Industrial Machinery,MTARTECH.NS
SCI,Shipping Corporation Of India Limited,537299,NSE,Industrials,Marine Shipping,SCI.NS
CCL,CCL Products (India) Limited,537034,NSE,Consumer Defensive,Packaged Foods,CCL.NS
NAZARA,Nazara Technologies Limited,534434,NSE,Communication Services,Electronic Gaming & Multimedia,NAZARA.NS
HEG,HEG Limited,531093,NSE,Industrials,Electrical Equipment & Parts,HEG.NS
VARROC,Varroc Engineering Limited,528259,NSE,Consumer Cyclical,Auto Parts,VARROC.NS
